Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S17275800098,02/06/2014,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.60566, -93.619787)",77.0,Polk,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$12.50,$18.75,2,$37.50,1.5,0.4
S07453700018,08/30/2012,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,"5050 EDGEWOOD RD
CEDAR RAPIDS 52411
(42.030457, -91.701432)",57.0,Linn,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$14.98,$22.47,6,$134.82,4.5,1.19
S18977800006,05/15/2014,2564,Hy-Vee Food Store #4 / Waterloo,4000 UNIVERSITY,WATERLOO,50701,"4000 UNIVERSITY
WATERLOO 50701
(42.505197, -92.403843)",7.0,Black Hawk,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,12,$125.88,9.0,2.38
S05796400079,05/30/2012,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600361, -93.673223)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.00,$13.50,3,$40.50,2.25,0.59
S27815200089,09/09/2015,4129,Cyclone Liquors,626 LINCOLN WAY,AMES,50010,"626 LINCOLN WAY
AMES 50010
(42.022854, -93.618911)",85.0,Story,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
S23388600124,01/08/2015,3692,Wilkie Liquors,724  1ST ST E,MT VERNON,52314,"724 1ST ST E
MT VERNON 52314
(41.91776, -91.410151)",57.0,Linn,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,3,$42.75,2.25,0.59
S23285400149,01/05/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,1062050.0,BARBADOS RUM,420.0,"Moet Hennessy USA, Inc.",42936,10 Cane Rum,6,750,$12.50,$18.75,1,$18.75,0.75,0.2
S21006300002,09/03/2014,4004,Wal-Mart 4256 / Ames,534 S DUFF AVE,AMES,50010,"534 S DUFF AVE
AMES 50010
(42.017115, -93.610343)",85.0,Story,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,36,$508.68,27.0,7.13
S07149100016,08/16/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,"1720 WATERFRONT DR
IOWA CITY 52240
(41.64277, -91.530467)",52.0,Johnson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.49,$13.11,12,$157.32,9.0,2.38
S26652600087,07/08/2015,4129,Cyclone Liquors,626 LINCOLN WAY,AMES,50010,"626 LINCOLN WAY
AMES 50010
(42.022854, -93.618911)",85.0,Story,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
